Week,Vermeidung
2020-03-01,38
2020-03-08,36
2020-03-15,72
2020-03-22,0
2020-03-29,53
2020-04-05,0
2020-04-12,55
2020-04-19,36
2020-04-26,71
2020-05-03,0
2020-05-10,54
2020-05-17,76
2020-05-24,0
2020-05-31,36
2020-06-07,37
2020-06-14,73
2020-06-21,77
2020-06-28,0
2020-07-05,0
2020-07-12,21
2020-07-19,0
2020-07-26,0
2020-08-02,21
2020-08-09,20
2020-08-16,100
2020-08-23,40
2020-08-30,20
2020-09-06,20
2020-09-13,20
2020-09-20,20
2020-09-27,0
2020-10-04,0
2020-10-11,42
2020-10-18,62
2020-10-25,20
2020-11-01,74
2020-11-08,40
2020-11-15,20
2020-11-22,59
2020-11-29,19
2020-12-06,39
2020-12-13,0
2020-12-20,22
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,56
2021-01-31,56
2021-02-07,58
2021-02-14,38
2021-02-21,19
2021-02-28,19
