Week,Stunden:
2020-03-01,67
2020-03-08,63
2020-03-15,64
2020-03-22,78
2020-03-29,65
2020-04-05,61
2020-04-12,53
2020-04-19,65
2020-04-26,60
2020-05-03,67
2020-05-10,71
2020-05-17,60
2020-05-24,70
2020-05-31,62
2020-06-07,74
2020-06-14,64
2020-06-21,68
2020-06-28,60
2020-07-05,77
2020-07-12,70
2020-07-19,64
2020-07-26,65
2020-08-02,67
2020-08-09,62
2020-08-16,70
2020-08-23,67
2020-08-30,71
2020-09-06,67
2020-09-13,74
2020-09-20,100
2020-09-27,87
2020-10-04,79
2020-10-11,78
2020-10-18,64
2020-10-25,64
2020-11-01,63
2020-11-08,59
2020-11-15,78
2020-11-22,60
2020-11-29,78
2020-12-06,63
2020-12-13,68
2020-12-20,57
2020-12-27,69
2021-01-03,68
2021-01-10,64
2021-01-17,78
2021-01-24,75
2021-01-31,74
2021-02-07,64
2021-02-14,72
2021-02-21,67
2021-02-28,70
