Week,Speisen:
2020-03-01,65
2020-03-08,30
2020-03-15,24
2020-03-22,54
2020-03-29,42
2020-04-05,13
2020-04-12,31
2020-04-19,61
2020-04-26,42
2020-05-03,43
2020-05-10,61
2020-05-17,58
2020-05-24,44
2020-05-31,55
2020-06-07,38
2020-06-14,55
2020-06-21,33
2020-06-28,57
2020-07-05,62
2020-07-12,66
2020-07-19,65
2020-07-26,64
2020-08-02,35
2020-08-09,26
2020-08-16,34
2020-08-23,61
2020-08-30,41
2020-09-06,76
2020-09-13,34
2020-09-20,75
2020-09-27,54
2020-10-04,34
2020-10-11,43
2020-10-18,57
2020-10-25,62
2020-11-01,56
2020-11-08,74
2020-11-15,74
2020-11-22,33
2020-11-29,60
2020-12-06,59
2020-12-13,59
2020-12-20,60
2020-12-27,72
2021-01-03,40
2021-01-10,63
2021-01-17,19
2021-01-24,50
2021-01-31,100
2021-02-07,72
2021-02-14,39
2021-02-21,60
2021-02-28,64
