Week,Verpflichtung:
2020-03-01,0
2020-03-08,14
2020-03-15,20
2020-03-22,27
2020-03-29,60
2020-04-05,51
2020-04-12,28
2020-04-19,14
2020-04-26,13
2020-05-03,14
2020-05-10,14
2020-05-17,71
2020-05-24,7
2020-05-31,27
2020-06-07,14
2020-06-14,55
2020-06-21,44
2020-06-28,7
2020-07-05,31
2020-07-12,16
2020-07-19,16
2020-07-26,24
2020-08-02,47
2020-08-09,7
2020-08-16,15
2020-08-23,30
2020-08-30,23
2020-09-06,31
2020-09-13,23
2020-09-20,46
2020-09-27,23
2020-10-04,15
2020-10-11,16
2020-10-18,16
2020-10-25,100
2020-11-01,35
2020-11-08,37
2020-11-15,37
2020-11-22,59
2020-11-29,45
2020-12-06,29
2020-12-13,15
2020-12-20,25
2020-12-27,8
2021-01-03,29
2021-01-10,35
2021-01-17,56
2021-01-24,63
2021-01-31,35
2021-02-07,36
2021-02-14,29
2021-02-21,37
2021-02-28,22
