Week,Veranstaltungen:
2020-03-01,46
2020-03-08,100
2020-03-15,21
2020-03-22,9
2020-03-29,8
2020-04-05,12
2020-04-12,18
2020-04-19,11
2020-04-26,7
2020-05-03,13
2020-05-10,13
2020-05-17,17
2020-05-24,17
2020-05-31,14
2020-06-07,21
2020-06-14,17
2020-06-21,16
2020-06-28,19
2020-07-05,24
2020-07-12,21
2020-07-19,29
2020-07-26,19
2020-08-02,20
2020-08-09,18
2020-08-16,22
2020-08-23,31
2020-08-30,23
2020-09-06,26
2020-09-13,19
2020-09-20,24
2020-09-27,32
2020-10-04,22
2020-10-11,20
2020-10-18,18
2020-10-25,16
2020-11-01,5
2020-11-08,6
2020-11-15,6
2020-11-22,7
2020-11-29,6
2020-12-06,5
2020-12-13,5
2020-12-20,3
2020-12-27,4
2021-01-03,4
2021-01-10,3
2021-01-17,4
2021-01-24,4
2021-01-31,3
2021-02-07,5
2021-02-14,6
2021-02-21,3
2021-02-28,4
