Week,Entscheidung:
2020-03-01,16
2020-03-08,28
2020-03-15,26
2020-03-22,53
2020-03-29,25
2020-04-05,15
2020-04-12,100
2020-04-19,25
2020-04-26,30
2020-05-03,31
2020-05-10,17
2020-05-17,30
2020-05-24,17
2020-05-31,25
2020-06-07,23
2020-06-14,14
2020-06-21,21
2020-06-28,13
2020-07-05,16
2020-07-12,20
2020-07-19,13
2020-07-26,12
2020-08-02,7
2020-08-09,12
2020-08-16,14
2020-08-23,19
2020-08-30,19
2020-09-06,21
2020-09-13,20
2020-09-20,18
2020-09-27,31
2020-10-04,14
2020-10-11,15
2020-10-18,13
2020-10-25,27
2020-11-01,31
2020-11-08,15
2020-11-15,25
2020-11-22,23
2020-11-29,12
2020-12-06,21
2020-12-13,26
2020-12-20,18
2020-12-27,27
2021-01-03,28
2021-01-10,25
2021-01-17,35
2021-01-24,13
2021-01-31,18
2021-02-07,15
2021-02-14,10
2021-02-21,20
2021-02-28,33
