Week,Einrichtungen
2020-03-01,63
2020-03-08,70
2020-03-15,100
2020-03-22,35
2020-03-29,54
2020-04-05,70
2020-04-12,57
2020-04-19,65
2020-04-26,30
2020-05-03,45
2020-05-10,60
2020-05-17,68
2020-05-24,31
2020-05-31,55
2020-06-07,15
2020-06-14,46
2020-06-21,27
2020-06-28,43
2020-07-05,23
2020-07-12,18
2020-07-19,59
2020-07-26,29
2020-08-02,35
2020-08-09,44
2020-08-16,11
2020-08-23,50
2020-08-30,56
2020-09-06,34
2020-09-13,67
2020-09-20,73
2020-09-27,55
2020-10-04,11
2020-10-11,47
2020-10-18,52
2020-10-25,51
2020-11-01,56
2020-11-08,50
2020-11-15,55
2020-11-22,44
2020-11-29,70
2020-12-06,65
2020-12-13,38
2020-12-20,31
2020-12-27,42
2021-01-03,75
2021-01-10,57
2021-01-17,37
2021-01-24,62
2021-01-31,89
2021-02-07,54
2021-02-14,86
2021-02-21,38
2021-02-28,53
