Week,Zeugnis:
2020-03-01,21
2020-03-08,21
2020-03-15,16
2020-03-22,14
2020-03-29,6
2020-04-05,13
2020-04-12,12
2020-04-19,16
2020-04-26,10
2020-05-03,17
2020-05-10,17
2020-05-17,16
2020-05-24,28
2020-05-31,13
2020-06-07,35
2020-06-14,40
2020-06-21,88
2020-06-28,32
2020-07-05,31
2020-07-12,20
2020-07-19,20
2020-07-26,24
2020-08-02,20
2020-08-09,22
2020-08-16,16
2020-08-23,30
2020-08-30,23
2020-09-06,17
2020-09-13,16
2020-09-20,20
2020-09-27,25
2020-10-04,20
2020-10-11,13
2020-10-18,9
2020-10-25,17
2020-11-01,22
2020-11-08,19
2020-11-15,19
2020-11-22,14
2020-11-29,21
2020-12-06,12
2020-12-13,18
2020-12-20,9
2020-12-27,9
2021-01-03,22
2021-01-10,35
2021-01-17,52
2021-01-24,100
2021-01-31,26
2021-02-07,14
2021-02-14,19
2021-02-21,33
2021-02-28,19
