Week,Person:
2020-03-01,64
2020-03-08,53
2020-03-15,63
2020-03-22,65
2020-03-29,65
2020-04-05,60
2020-04-12,61
2020-04-19,73
2020-04-26,73
2020-05-03,61
2020-05-10,65
2020-05-17,65
2020-05-24,57
2020-05-31,59
2020-06-07,58
2020-06-14,66
2020-06-21,47
2020-06-28,60
2020-07-05,59
2020-07-12,57
2020-07-19,58
2020-07-26,62
2020-08-02,57
2020-08-09,73
2020-08-16,60
2020-08-23,57
2020-08-30,68
2020-09-06,62
2020-09-13,58
2020-09-20,72
2020-09-27,72
2020-10-04,63
2020-10-11,55
2020-10-18,68
2020-10-25,59
2020-11-01,65
2020-11-08,67
2020-11-15,74
2020-11-22,64
2020-11-29,76
2020-12-06,70
2020-12-13,83
2020-12-20,75
2020-12-27,65
2021-01-03,100
2021-01-10,96
2021-01-17,85
2021-01-24,78
2021-01-31,70
2021-02-07,74
2021-02-14,75
2021-02-21,81
2021-02-28,70
